2025-12-17 10:21:08,914 | INFO | main | Pipeline de procesamiento de datos iniciado
2025-12-17 10:21:11,312 | INFO | _init_num_threads | NumExpr defaulting to 8 threads.
2025-12-17 10:21:16,046 | INFO | setup_environment | --- Sesion Spark iniciada en entorno: PROD ---
2025-12-17 10:21:17,869 | INFO | read_data | Datos cargados exitosamente desde: data/raw
2025-12-17 10:21:20,158 | INFO | data_quality_input | Ejecutando Comprobación de Calidad de Datos...
2025-12-17 10:21:20,158 | INFO | data_quality_input | [DQ INPUT APROBADA] Conteo de filas: 379
2025-12-17 10:21:20,169 | INFO | data_quality_input | [DQ INPUT APROBADA] Todas las columnas requeridas están presentes
2025-12-17 10:21:20,169 | INFO | transform_data | Eliminando registros duplicados...
2025-12-17 10:21:20,212 | INFO | transform_data | Aplicando Filtros...
2025-12-17 10:21:20,571 | INFO | date_filter | Filtro fecha >>> OK
2025-12-17 10:21:20,571 | INFO | country_filter | Filtro pais >>> OK
2025-12-17 10:21:20,685 | INFO | delivery_filter | Filtro tipo entrega >>> OK
2025-12-17 10:21:24,306 | INFO | transform_data | Registros originales: 379 | Registros filtrados: 129
2025-12-17 10:21:24,397 | INFO | derived_cols | Columnas derivadas de tipo entrega >>> OK
2025-12-17 10:21:24,465 | INFO | fix_nulls | Rellenado valores nulos >>> OK
2025-12-17 10:21:24,580 | INFO | treatment_units | Unidad, cantidad y precio ajustadas >>> OK
2025-12-17 10:21:24,628 | INFO | rename_and_order_cols | Renombrado: 'precio' a 'precio_origen'
2025-12-17 10:21:24,633 | INFO | rename_and_order_cols | Renombrado: 'cantidad' a 'cantidad_origen'
2025-12-17 10:21:24,638 | INFO | rename_and_order_cols | Renombrado: 'unidad' a 'unidad_origen'
2025-12-17 10:21:24,706 | INFO | rename_and_order_cols | Renombrado y ordenamiento de columnas >>> OK
2025-12-17 10:21:25,763 | INFO | data_quality_output | [DQ OUTPUT APROBADA]: La columna 'precio' no contiene valores nulos.
2025-12-17 10:21:25,880 | INFO | data_quality_output | [DQ OUTPUT APROBADA]: La columna 'material' no contiene valores nulos.
2025-12-17 10:21:25,880 | INFO | write_data | Escribiendo datos en: data/processed/PROD
2025-12-17 10:21:27,870 | INFO | write_data | Escritura exitosa.
2025-12-17 10:21:28,319 | INFO | main | Sesion Spark detenida
2025-12-17 10:21:28,319 | INFO | close | Closing down clientserver connection
2025-12-17 10:21:54,517 | INFO | main | Pipeline de procesamiento de datos iniciado
2025-12-17 10:21:57,067 | INFO | _init_num_threads | NumExpr defaulting to 8 threads.
2025-12-17 10:22:02,597 | INFO | setup_environment | --- Sesion Spark iniciada en entorno: DEV ---
2025-12-17 10:22:04,599 | INFO | read_data | Datos cargados exitosamente desde: data/raw
2025-12-17 10:22:07,051 | INFO | data_quality_input | Ejecutando Comprobación de Calidad de Datos...
2025-12-17 10:22:07,052 | INFO | data_quality_input | [DQ INPUT APROBADA] Conteo de filas: 379
2025-12-17 10:22:07,064 | INFO | data_quality_input | [DQ INPUT APROBADA] Todas las columnas requeridas están presentes
2025-12-17 10:22:07,065 | INFO | transform_data | Eliminando registros duplicados...
2025-12-17 10:22:07,114 | INFO | transform_data | Aplicando Filtros...
2025-12-17 10:22:07,451 | INFO | date_filter | Filtro fecha >>> OK
2025-12-17 10:22:07,451 | INFO | country_filter | Filtro pais >>> OK
2025-12-17 10:22:07,552 | INFO | delivery_filter | Filtro tipo entrega >>> OK
2025-12-17 10:22:11,352 | INFO | transform_data | Registros originales: 379 | Registros filtrados: 129
2025-12-17 10:22:11,441 | INFO | derived_cols | Columnas derivadas de tipo entrega >>> OK
